,breed,type.x,contact_state,State_Full,state,# of non-kill shelters,# of shelters, % big dog friendly rentals, %small dog friendly rentals,% dog owners
10634,Schnauzer,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10635,Plott Hound,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10636,Shepherd,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10637,Labrador Retriever,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10638,Yellow Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10639,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10640,Collie,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10641,Pit Bull Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10642,Mixed Breed,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10643,Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10644,Hound,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10645,Mixed Breed,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10646,Catahoula Leopard Dog,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10647,Great Pyrenees,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10648,Black Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10649,Chihuahua,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10650,Black Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10651,Black Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10652,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10653,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10654,Boston Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10655,Chihuahua,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10656,Rottweiler,Dog,NY,New York,New York,71,128,29,36.4,27
10657,English Setter,Dog,NJ,New Jersey,New Jersey,50,72,14.8,36.7,29.1
10658,Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10659,Hound,Dog,NY,New York,New York,71,128,29,36.4,27
10660,Boxer,Dog,NY,New York,New York,71,128,29,36.4,27
10661,Pit Bull Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10662,Belgian Shepherd / Laekenois,Dog,NY,New York,New York,71,128,29,36.4,27
10663,Yellow Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10664,Beagle,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10665,Pit Bull Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10666,Wirehaired Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10667,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10668,Pit Bull Terrier,Dog,NJ,New Jersey,New Jersey,50,72,14.8,36.7,29.1
10669,Pit Bull Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10670,Pit Bull Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10671,German Shepherd Dog,Dog,NY,New York,New York,71,128,29,36.4,27
10672,Pit Bull Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10673,Mixed Breed,Dog,NY,New York,New York,71,128,29,36.4,27
10674,Labrador Retriever,Dog,NJ,New Jersey,New Jersey,50,72,14.8,36.7,29.1
10675,Pit Bull Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10676,Boxer,Dog,NY,New York,New York,71,128,29,36.4,27
10677,Mixed Breed,Dog,NY,New York,New York,71,128,29,36.4,27
10678,Border Collie,Dog,NY,New York,New York,71,128,29,36.4,27
10679,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10680,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10681,Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10682,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10683,Flat-Coated Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10684,Pit Bull Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10685,Siberian Husky,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10686,Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10687,Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10688,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10689,American Bulldog,Dog,NY,New York,New York,71,128,29,36.4,27
10690,Hound,Dog,NY,New York,New York,71,128,29,36.4,27
10691,Pit Bull Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10692,Chocolate Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10693,Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10694,Mixed Breed,Dog,NY,New York,New York,71,128,29,36.4,27
10695,Coonhound,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10696,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10697,Australian Cattle Dog / Blue Heeler,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10698,Australian Cattle Dog / Blue Heeler,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10699,Great Pyrenees,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10700,Great Pyrenees,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10701,Great Pyrenees,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10702,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10703,Shepherd,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10704,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10705,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10706,Mountain Cur,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10707,Mixed Breed,Dog,NY,New York,New York,71,128,29,36.4,27
10708,Pit Bull Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10709,Beagle,Dog,NY,New York,New York,71,128,29,36.4,27
10710,Jack Russell Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10711,Labrador Retriever,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10712,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10713,Labrador Retriever,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10714,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10715,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10716,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10717,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10718,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10719,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10720,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10721,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10722,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10723,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10724,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10725,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10726,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10727,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10728,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10729,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10730,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10731,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10732,Pit Bull Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10733,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10734,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10735,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10736,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10737,Pit Bull Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10738,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10739,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10740,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10741,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10742,Chihuahua,Dog,NY,New York,New York,71,128,29,36.4,27
10743,Beagle,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10744,Catahoula Leopard Dog,Dog,NY,New York,New York,71,128,29,36.4,27
10745,Catahoula Leopard Dog,Dog,NY,New York,New York,71,128,29,36.4,27
10746,Catahoula Leopard Dog,Dog,NY,New York,New York,71,128,29,36.4,27
10747,Catahoula Leopard Dog,Dog,NY,New York,New York,71,128,29,36.4,27
10748,Maltese,Dog,NY,New York,New York,71,128,29,36.4,27
10749,Pit Bull Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10750,Pit Bull Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10751,Pit Bull Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10752,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10753,Boxer,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10754,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10755,Boxer,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10756,Boxer,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10757,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10758,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10759,Hound,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10760,Labrador Retriever,Dog,NJ,New Jersey,New Jersey,50,72,14.8,36.7,29.1
10761,Chihuahua,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10762,Husky,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10763,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10764,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10765,Beagle,Dog,NY,New York,New York,71,128,29,36.4,27
10766,Chihuahua,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10767,Beagle,Dog,NY,New York,New York,71,128,29,36.4,27
10768,Husky,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10769,Husky,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10770,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10771,Hound,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10772,Hound,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10773,Australian Cattle Dog / Blue Heeler,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10774,Boxer,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10775,Hound,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10776,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10777,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10778,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10779,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10780,Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10781,Yorkshire Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10782,Golden Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10783,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10784,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10785,Chocolate Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10786,Beagle,Dog,NJ,New Jersey,New Jersey,50,72,14.8,36.7,29.1
10787,Beagle,Dog,NJ,New Jersey,New Jersey,50,72,14.8,36.7,29.1
10788,Beagle,Dog,NJ,New Jersey,New Jersey,50,72,14.8,36.7,29.1
10789,Lakeland Terrier,Dog,VT,Vermont,Vermont,12,12,28,43.9,28.3
10790,Chihuahua,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10791,Beagle,Dog,NJ,New Jersey,New Jersey,50,72,14.8,36.7,29.1
10792,German Shepherd Dog,Dog,NY,New York,New York,71,128,29,36.4,27
10793,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10794,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10795,Pug,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10796,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10797,Australian Cattle Dog / Blue Heeler,Dog,NY,New York,New York,71,128,29,36.4,27
10798,Rat Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10799,Australian Cattle Dog / Blue Heeler,Dog,NY,New York,New York,71,128,29,36.4,27
10800,Greyhound,Dog,NH,New Hampshire,New Hampshire,14,14,14.6,31,23.7
10801,Mixed Breed,Dog,NH,New Hampshire,New Hampshire,14,14,14.6,31,23.7
10802,Mixed Breed,Dog,NH,New Hampshire,New Hampshire,14,14,14.6,31,23.7
10803,Rottweiler,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10804,Husky,Dog,NY,New York,New York,71,128,29,36.4,27
10805,American Staffordshire Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10806,Greyhound,Dog,NH,New Hampshire,New Hampshire,14,14,14.6,31,23.7
10807,Boxer,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10808,Bichon Frise,Dog,NJ,New Jersey,New Jersey,50,72,14.8,36.7,29.1
10809,German Shepherd Dog,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10810,Cocker Spaniel,Dog,NJ,New Jersey,New Jersey,50,72,14.8,36.7,29.1
10811,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10812,Shih Tzu,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10813,Mixed Breed,Dog,NH,New Hampshire,New Hampshire,14,14,14.6,31,23.7
10814,Husky,Dog,NY,New York,New York,71,128,29,36.4,27
10815,Shih Tzu,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10816,Mixed Breed,Dog,NH,New Hampshire,New Hampshire,14,14,14.6,31,23.7
10817,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10818,Greyhound,Dog,NH,New Hampshire,New Hampshire,14,14,14.6,31,23.7
10819,Mixed Breed,Dog,NY,New York,New York,71,128,29,36.4,27
10820,Chihuahua,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10821,Chihuahua,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10822,Labrador Retriever,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10823,Pit Bull Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10824,Standard Poodle,Dog,NJ,New Jersey,New Jersey,50,72,14.8,36.7,29.1
10825,Weimaraner,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10826,Husky,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10827,Husky,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10828,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10829,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10830,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10831,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10832,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10833,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10834,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10835,Mixed Breed,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10836,Black Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10837,Black Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10838,Black Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10839,Black Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10840,Beagle,Dog,NY,New York,New York,71,128,29,36.4,27
10841,Beagle,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10842,Chocolate Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10843,Mixed Breed,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10844,Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10845,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10846,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10847,German Shepherd Dog,Dog,NY,New York,New York,71,128,29,36.4,27
10848,Rat Terrier,Dog,VT,Vermont,Vermont,12,12,28,43.9,28.3
10849,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10850,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10851,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10852,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10853,Beagle,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10854,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10855,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10856,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10857,Shepherd,Dog,NY,New York,New York,71,128,29,36.4,27
10858,Pit Bull Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10859,Pit Bull Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10860,Pit Bull Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10861,Pit Bull Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10862,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10863,Pit Bull Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10864,Chihuahua,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10865,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10866,Spitz,Dog,NY,New York,New York,71,128,29,36.4,27
10867,American Staffordshire Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10868,Catahoula Leopard Dog,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10869,Treeing Walker Coonhound,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10870,Chihuahua,Dog,NY,New York,New York,71,128,29,36.4,27
10871,Whippet,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10872,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10873,Beagle,Dog,NY,New York,New York,71,128,29,36.4,27
10874,Redbone Coonhound,Dog,NY,New York,New York,71,128,29,36.4,27
10875,Boxer,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10876,Hound,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10877,Hound,Dog,NY,New York,New York,71,128,29,36.4,27
10878,Hound,Dog,NY,New York,New York,71,128,29,36.4,27
10879,Bearded Collie,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10880,Shepherd,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10881,English Bulldog,Dog,NY,New York,New York,71,128,29,36.4,27
10882,German Shorthaired Pointer,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10883,Greyhound,Dog,NY,New York,New York,71,128,29,36.4,27
10884,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10885,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10886,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10887,Jack Russell Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10888,Pit Bull Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10889,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10890,Staffordshire Bull Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10891,Pit Bull Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10892,American Staffordshire Terrier,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10893,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10894,Schnauzer,Dog,NY,New York,New York,71,128,29,36.4,27
10895,Schnauzer,Dog,NY,New York,New York,71,128,29,36.4,27
10896,Hound,Dog,NY,New York,New York,71,128,29,36.4,27
10897,Lakeland Terrier,Dog,NH,New Hampshire,New Hampshire,14,14,14.6,31,23.7
10898,Lakeland Terrier,Dog,NH,New Hampshire,New Hampshire,14,14,14.6,31,23.7
10899,Spaniel,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10900,Black Labrador Retriever,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10901,Hound,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10902,Spaniel,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10903,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10904,Cattle Dog,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10905,Chihuahua,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10906,Chihuahua,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10907,Dalmatian,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10908,Mixed Breed,Dog,NY,New York,New York,71,128,29,36.4,27
10909,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10910,Labrador Retriever,Dog,VT,Vermont,Vermont,12,12,28,43.9,28.3
10911,Labrador Retriever,Dog,VT,Vermont,Vermont,12,12,28,43.9,28.3
10912,Pit Bull Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10913,Hound,Dog,NY,New York,New York,71,128,29,36.4,27
10914,Plott Hound,Dog,NY,New York,New York,71,128,29,36.4,27
10915,Great Pyrenees,Dog,NY,New York,New York,71,128,29,36.4,27
10916,Labrador Retriever,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10917,Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10918,Vizsla,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10919,Terrier,Dog,NY,New York,New York,71,128,29,36.4,27
10920,Foxhound,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10921,Black Mouth Cur,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10922,Mixed Breed,Dog,NY,New York,New York,71,128,29,36.4,27
10923,Mixed Breed,Dog,NY,New York,New York,71,128,29,36.4,27
10924,Hound,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10925,Hound,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10926,Mountain Cur,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10927,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10928,Staffordshire Bull Terrier,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10929,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10930,Labrador Retriever,Dog,CT,Connecticut,Connecticut,83,89,9.8,34.6,24
10931,American Bulldog,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10932,Black Labrador Retriever,Dog,NY,New York,New York,71,128,29,36.4,27
10933,Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10934,Airedale Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10935,Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10936,Hound,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10937,Pit Bull Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10938,Pit Bull Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10939,Shepherd,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10940,Dalmatian,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10941,Catahoula Leopard Dog,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10942,Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10943,Boxer,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10944,Pit Bull Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10945,Pit Bull Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10946,Pit Bull Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10947,Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10948,Shepherd,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10949,Hound,Dog,MA,Massachusetts,Massachusetts,51,59,11.8,24.7,28.9
10950,Labrador Retriever,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10951,Catahoula Leopard Dog,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10952,Beagle,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10953,Pit Bull Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10954,Whippet,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10955,Pit Bull Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10956,Shepherd,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10957,Labrador Retriever,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10958,Pit Bull Terrier,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10959,Labrador Retriever,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10960,Golden Retriever,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10961,Labrador Retriever,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
10962,Labrador Retriever,Dog,RI,Rhode Island,Rhode Island,28,28,10.8,27.8,25.8
