,breed,type.x,contact_state,State_Full,state,# of non-kill shelters,# of shelters, % big dog friendly rentals, %small dog friendly rentals,% dog owners
72,Jindo,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
73,Corgi,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
74,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
75,American Bulldog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
76,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
77,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
78,Shar-Pei,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
79,Pit Bull Terrier,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
80,Shar-Pei,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
81,Shepherd,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
82,Shepherd,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
83,Hound,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
84,Jack Russell Terrier,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
85,Retriever,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
86,Hound,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
87,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
88,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
89,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
90,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
91,Siberian Husky,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
92,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
93,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
94,American Bulldog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
95,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
96,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
97,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
98,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
99,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
100,Maltese,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
101,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
102,Siberian Husky,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
103,Maltese,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
104,Maltese,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
105,Maltese,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
106,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
107,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
108,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
109,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
110,Black Labrador Retriever,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
111,Akita,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
112,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
113,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
114,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
115,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
116,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
117,Schnauzer,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
118,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
119,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
120,Chow Chow,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
121,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
122,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
123,Akita,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
124,Schnauzer,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
125,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
126,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
127,Redbone Coonhound,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
128,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
129,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
130,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
131,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
132,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
133,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
134,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
135,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
136,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
137,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
138,Giant Schnauzer,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
139,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
140,Labrador Retriever,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
141,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
142,Mastiff,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
143,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
144,Labrador Retriever,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
145,Redbone Coonhound,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
146,Miniature Pinscher,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
147,Boxer,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
